BIOCHEMICAL,refmet_name,super_class,main_class,sub_class,formula,exactmass,inchi_key,smiles,pubchem_cid
Campesterol_ TMS derivative,Campesterol,Sterol Lipids,Sterols,Ergosterols,C28H48O,400.370515,SGNBVLSWZMBQTH-PODYLUTMSA-N,CC(C)[C@H](C)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,173183.0
capric acid,Capric acid,Fatty Acyls,Fatty acids,Saturated FA,C10H20O2,172.14633,GHVNFZFCNZKVNT-UHFFFAOYSA-N,CCCCCCCCCC(=O)O,2969.0
cholesterol,Cholesterol,Sterol Lipids,Sterols,Cholesterols,C27H46O,386.354865,HVYWMOMLDIMFJA-DPAQBDIFSA-N,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,5997.0
citric acid,Citric acid,Organic acids,TCA acids,TCA acids,C6H8O7,192.027005,KRKNYBCHXYNGOX-UHFFFAOYSA-N,O=C(O)CC(O)(CC(=O)O)C(=O)O,311.0
citrulline 2,Citrulline,Organic acids,Amino acids and peptides,Amino acids,C6H13N3O3,175.095692,RHGKLRLOHDJJDR-BYPYZUCNSA-N,NC(=O)NCCC[C@H](N)C(=O)O,9750.0
Creatinine,Creatinine,Organoheterocyclic compounds,Azoles,Imidazolines,C4H7N3O,113.058912,DDRJAANPRJIHGJ-UHFFFAOYSA-N,CN1CC(=O)NC1=N,137319715.0
D-allose 1,Allose,Organic oxygen compounds,Organooxygen compounds,Organooxygen compounds,C6H12O6,180.06339,WQZGKKKJIJFFOK-HOWGCPQDSA-N,OC[C@@H]1OC(O)[C@@H](O)[C@@H](O)[C@H]1O,12285879.0
D-glucose 1,Glucose,Carbohydrates,Monosaccharides,Hexoses,C6H12O6,180.06339,WQZGKKKJIJFFOK-GASJEMHNSA-N,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,5793.0
D-glucose 2,Glucose,Carbohydrates,Monosaccharides,Hexoses,C6H12O6,180.06339,WQZGKKKJIJFFOK-GASJEMHNSA-N,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,5793.0
Diethanolamine_ 2TMS derivative,Diethanolamine,Organic nitrogen compounds,Amines,"1,2-aminoalcohols",C4H11NO2,105.078979,ZBCBWPMODOFKDW-UHFFFAOYSA-N,OCCNCCO,8113.0
Dihydrouracil_ 2TMS derivative,Dihydrouracil,Nucleic acids,Pyrimidines,Other pyrimidines,C4H6N2O2,114.042928,OIVLITBTBDPEFK-UHFFFAOYSA-N,O=C1CCNC(=O)N1,649.0
dioctyl phthalate,Dioctyl phthalate,Benzenoids,Benzenes,Phthalate esters,C24H38O4,390.27701,MQIUGAXCHLFZKX-UHFFFAOYSA-N,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,8346.0
DL-isoleucine 1,Isoleucine,Organic acids,Amino acids and peptides,Amino acids,C6H13NO2,131.094629,AGPKZVBTJJNPAG-WHFBIAKZSA-N,CC[C@H](C)[C@H](N)C(=O)O,6306.0
DL-isoleucine 2,Isoleucine,Organic acids,Amino acids and peptides,Amino acids,C6H13NO2,131.094629,AGPKZVBTJJNPAG-WHFBIAKZSA-N,CC[C@H](C)[C@H](N)C(=O)O,6306.0
DL-Ornithine_ 3TMS derivative,Ornithine,Organic acids,Amino acids and peptides,Amino acids,C5H12N2O2,132.089878,AHLPHDHHMVZTML-BYPYZUCNSA-N,NCCC[C@H](N)C(=O)O,6262.0
D-malic acid,D-Malic acid,Organic acids,Hydroxy acids,Beta hydroxy acids,C4H6O5,134.021525,BJEPYKJPYRNKOW-UWTATZPHSA-N,O=C(O)C[C@@H](O)C(=O)O,92824.0
D-mannitol,Mannitol,Carbohydrates,Monosaccharides,Sugar alcohols,C6H14O6,182.07904,FBPFZTCFMRRESA-KVTDHHQDSA-N,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,6251.0
Doconexent_ TMS derivative,DHA,Fatty Acyls,Fatty acids,Unsaturated FA,C22H32O2,328.24023,MBMBGCFOFBJSGT-KUBAVDMBSA-N,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O,445580.0
D-threitol,Threitol,Carbohydrates,Monosaccharides,Sugar alcohols,C4H10O4,122.05791,UNXHWFMMPAWVPI-QWWZWVQMSA-N,OC[C@@H](O)[C@H](O)CO,169019.0
D-(+)-Turanose_ octakis(trimethylsilyl) ether,Turanose,Fatty Acyls,Fatty acyl glycosides,Fatty acyl glycosides,C12H22O11,342.116215,RULSWEULPANCDV-PIXUTMIVSA-N,O=C(CO)[C@@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CO,5460935.0
